title,main_genre,belongs_to_collection,budget,revenue,production_companies,vote_average,popularity,runtime,cast_size,crew_size,cast_tr,director_tr,production_company_tr,English,title_length,rel_year,rel_month
Central Station,Drama,False,2.9,5.5967080000000005,3.0,7.6,4.919716,113.0,19,43,0.0,0.0,0.0,False,14,1998,January
Hard Rain,Thriller,False,70.0,19.870567,9.0,5.5,6.363405,97.0,10,82,2361.750386,12.890752,14585.748889,True,8,1998,January
Half Baked,Comedy,False,8.0,17.46002,1.0,6.4,7.022548,82.0,12,8,119.943461,44.442512,13181.54645,True,9,1998,January
Great Expectations,Comedy,False,25.0,55.494066,2.0,6.4,9.941228,111.0,10,6,726.339145,0.0,10393.573468,True,17,1998,January
Buffalo '66,Romance,False,1.5,2.375097,,7.2,9.167761,110.0,26,13,366.5827210000001,0.0,,True,10,1998,January
Gods and Monsters,Drama,False,10.0,6.451628,3.0,6.8,6.7880210000000005,105.0,11,13,65.478544,13.940383,6.330054,True,15,1998,January
Zero Effect,Comedy,False,5.0,1.980338,3.0,6.0,3.621052,116.0,15,9,2035.740239,0.0,324.732669,True,10,1998,January
Deep Rising,Adventure,False,45.0,11.203026,3.0,6.0,6.922458,106.0,15,82,17.300888999999998,0.0,1590.2526710000002,True,10,1998,January
Ringu,Horror,True,1.2,8.690429,2.0,6.9,6.4861260000000005,96.0,9,5,0.0,0.0,0.0,False,5,1998,January
Your Friends & Neighbors,Drama,False,5.0,4.710749,2.0,5.9,1.564774,100.0,6,2,254.869371,0.0,217.229659,True,21,1998,February
Blues Brothers 2000,Other,True,28.0,14.051384,1.0,5.2,13.162168,123.0,29,9,1811.807639,816.827145,13199.00647,True,17,1998,February
The Replacement Killers,Action,False,30.0,19.204929,1.0,6.0,9.384887,87.0,13,10,340.562362,0.0,3724.707485,True,21,1998,February
Sphere,Science Fiction,False,75.0,13.1,4.0,5.8,7.124735,134.0,12,71,3551.150676,1100.954183,0.0,True,6,1998,February
The Wedding Singer,Romance,False,18.0,123.306987,3.0,6.5,8.884035,95.0,15,19,951.638674,0.0,2611.916763,True,16,1998,February
"An Alan Smithee Film: Burn, Hollywood, Burn",Comedy,False,10.0,0.045779,2.0,3.0,1.453096,86.0,14,4,4043.319576,0.4589959999999999,1601.455697,True,37,1998,February
Dark City,Mystery,False,27.0,27.200316,2.0,7.2,12.851984,100.0,19,65,488.653242,94.0,2735.22375,True,8,1998,February
A Civil Action,Drama,False,70.0,56.702901,3.0,6.1,9.353499,115.0,19,15,2314.236426,7.266382999999998,14605.619456,False,12,1998,March
"Lock, Stock and Two Smoking Barrels",Comedy,False,1.35,3.897569,5.0,7.5,4.60786,105.0,27,12,0.0,0.0,42.365581,True,30,1998,March
U.S. Marshals,Thriller,True,60.0,102.367405,2.0,6.2,8.462363999999999,131.0,31,106,2689.494365,121.969216,432.155122,True,12,1998,March
The Big Lebowski,Comedy,False,15.0,46.189568,3.0,7.8,15.952524,117.0,41,98,1365.384821,101.026603,10.334348,True,14,1998,March
Wild Things,Thriller,True,20.0,67.2,1.0,6.3,13.924623,108.0,34,9,1029.809164,11.081586,0.0,True,10,1998,March
The Newton Boys,Crime,False,27.0,76.0,2.0,5.9,2.9170130000000003,113.0,16,4,753.9590109999999,14.185191000000003,10449.067534,True,13,1998,March
Meet the Deedles,Animation,False,24.0,4.562146,1.0,4.1,7.336353999999999,93.0,9,16,1063.4004690000002,0.0,4314.120054999999,True,14,1998,March
Lost in Space,Adventure,False,80.0,136.159423,4.0,5.0,12.000579,130.0,20,120,1416.07588,196.581617,2762.424066,True,11,1998,April
Species II,Science Fiction,True,35.0,19.16556,1.0,4.5,13.495247,93.0,66,30,352.111547,15.275585,1445.23844,True,9,1998,April
City of Angels,Drama,False,55.0,198.685114,5.0,6.5,8.228219000000001,114.0,16,14,1870.254195,287.928194,25.23228900000001,True,12,1998,April
The Dinner Game,Comedy,False,12.5,78.599508,4.0,7.7,6.122739,80.0,13,6,4.099999999999994,42.249542000000005,43.134236,False,13,1998,April
The Object of My Affection,Comedy,False,15.0,46.905889,1.0,5.6,6.715856,111.0,15,9,68.00561300000001,0.0,10525.067534,True,22,1998,April
Sliding Doors,Comedy,False,6.0,58.0,4.0,6.6,9.7866,99.0,20,25,405.260142,0.0,14662.322357,True,12,1998,April
The Big Hit,Action,False,13.0,27.007143,1.0,6.1,5.975082,91.0,10,11,328.8521600000001,0.1947200000000002,3917.095008,True,9,1998,April
The Idiots,Drama,True,2.5,0.0072349999999999,2.0,6.7,9.174221,117.0,38,18,0.0,3.803298,0.0,False,9,1998,April
He Got Game,Drama,False,25.0,21.567853,2.0,6.7,13.06943,136.0,29,14,885.892358,157.84418799999997,12.0,True,9,1998,May
Woo,Comedy,False,13.0,8.026971000000001,3.0,5.5,2.326115,84.0,12,2,240.664221,0.4723699999999997,2898.583489,True,3,1998,May
Deep Impact,Action,False,75.0,140.464664,4.0,5.9,11.644633,120.0,26,113,903.666004,0.0,14720.322357,True,10,1998,May
The Horse Whisperer,Drama,False,60.0,186.883563,2.0,6.7,7.685548,170.0,21,26,2250.502714,43.440294,71.00142100000002,True,17,1998,May
Edge of Seventeen,Comedy,False,1.5,0.870751,1.0,5.7,1.666469,99.0,39,46,0.0,0.0,0.0,True,15,1998,May
Bulworth,Comedy,False,30.0,29.202884,1.0,6.3,3.385342,108.0,40,24,648.228186,144.12138499999998,10571.973423,True,8,1998,May
Quest for Camelot,Fantasy,False,40.0,38.1725,1.0,6.9,13.02535,86.0,13,36,2361.497139,0.0,5237.643345,True,15,1998,May
Godzilla,Science Fiction,False,130.0,379.014294,5.0,5.3,11.295121,139.0,78,122,1256.8131739999997,1013.53653,3944.102151,True,8,1998,May
The Opposite of Sex,Comedy,False,5.0,5.879254,,5.9,14.734622,105.0,10,31,382.35804100000007,0.0,,True,16,1998,May
Fear and Loathing in Las Vegas,Adventure,False,18.5,10.680275,5.0,7.2,9.220346,118.0,28,100,173.051458,266.213143,13213.057854,True,25,1998,May
The Wounds,War,False,0.01,0.15,2.0,7.2,0.732884,103.0,9,24,0.0,0.0,0.0,False,9,1998,May
Forever Fever,Comedy,False,1.07,0.57,2.0,5.1,0.170074,95.0,5,12,0.0,0.0,0.0,True,12,1998,May
The Truman Show,Comedy,False,60.0,264.118201,2.0,7.8,13.155901,103.0,25,29,1966.54839,363.07378,14860.787021,True,13,1998,June
A Perfect Murder,Crime,False,60.0,128.038368,2.0,6.3,9.430812,107.0,11,86,2252.110324,631.141364,534.522527,True,14,1998,June
Six Days Seven Nights,Action,False,70.0,164.0,4.0,5.6,18.324219,98.0,62,33,4841.471657,1114.479281,416.501352,True,18,1998,June
Can't Hardly Wait,Comedy,False,10.0,25.605015,1.0,6.1,6.4269370000000015,100.0,22,8,143.08081500000003,0.0,2996.871468,True,15,1998,June
